POINT (-58.464864340007487 -34.602675159519947);86;5;HSBC;Banco;Capital federal;Av. San Martin 2799;PATERNAL;15;Visual y Audio;;;SAN MARTIN AV. 2799;2799 SAN MARTIN AV.
POINT (-58.440702944516275 -34.598374208345462);36;3;ICBC;Banco;Villa Crespo;Av. Corrientes 5386;VILLA CRESPO;15;Visual y Audio;;;CORRIENTES AV. 5386;5386 CORRIENTES AV.
POINT (-58.445952635866405 -34.607276448896549);106;7;Banco Patagonia;Banco;CABA;Av. Gaona 1129;VILLA CRESPO;15;Visual y Audio;;;GAONA AV. 1129;1129 GAONA AV.
POINT (-58.440613838973732 -34.598456887848293);122;7;Banco Patagonia;Banco;CABA;Av. Corrientes 5376 / 5380;VILLA CRESPO;15;Visual y Audio;;;CORRIENTES AV. 5376;5376 CORRIENTES AV.
POINT (-58.492704288548566 -34.60318872658835);26;2;Comafi;Banco;Villa del Parque;Nogoyá 3135;VILLA DEL PARQUE;11;Visual y Audio;4503-3517;;NOGOYA 3135;3135 NOGOYA
POINT (-58.49785555304279 -34.597610068940021);82;5;HSBC;Banco;Capital federal;Cuenca 3479;VILLA DEL PARQUE;11;Visual y Audio;;;CUENCA 3479;3479 CUENCA
POINT (-58.418446781997517 -34.603245580665856);29;3;ICBC;Banco;Almagro;Av. Crrientes 3829;ALMAGRO;5;Visual y Audio;;;CORRIENTES AV. 3829;3829 CORRIENTES AV.
POINT (-58.424470900583884 -34.603007555446609);7;1;Macro;Banco;Almagro;Av. Corrientes 4222;ALMAGRO;5;Visual y Audio;;Ingreso a nivel;CORRIENTES AV. 4222;4222 CORRIENTES AV.
POINT (-58.426934635380661 -34.614284954747355);54;4;Santander Rio;Banco;Capital federal;Av. Rivadavia 4364;ALMAGRO;5;Visual y Audio;;;RIVADAVIA AV. 4364;4364 RIVADAVIA AV.
POINT (-58.430646756837071 -34.602389361568612);62;4;Santander Rio;Banco;Capital federal;Av. Corrientes 4626;ALMAGRO;5;Visual
POINT (-58.428712609580174 -34.616547111888885);68;4;Santander Rio;Banco;Capital federal;Av. La Plata 140;ALMAGRO;5;Visual y Audio;;;LA PLATA AV. 140;140 LA PLATA AV.
POINT (-58.418262788500769 -34.610825608764813);72;4;Santander Rio;Banco;Capital federal;Av. Rivadavia 3681;ALMAGRO;5;Visual y Audio;;;RIVADAVIA AV. 3681;3681 RIVADAVIA AV.
POINT (-58.424814716236789 -34.606622006144562);81;5;HSBC;Banco;Capital federal;Gascon 450;ALMAGRO;5;Visual
POINT (-58.424747981635441 -34.605780702009653);92;5;HSBC;Banco;Capital federal;Pte. Perón 4111;ALMAGRO;5;Visual y Audio;;;PERON
POINT (-58.428650598816958 -34.608543839826176);102;7;Banco Patagonia;Banco;CABA;Av. Diaz Velez 4363;ALMAGRO;5;Visual y Audio;;;DIAZ VELEZ AV. 4363;4363 DIAZ VELEZ AV.
POINT (-58.423444269226536 -34.612741077900694);115;7;Banco Patagonia;Banco;CABA;Av. Rivadavia 4100;ALMAGRO;5;Visual y Audio;;;RIVADAVIA AV. 4100;4100 RIVADAVIA AV.
